Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score_finBert,Similarity_score,custom_model_pred,finBert+similarty_pred,direction
2021-09-30,165.8000030517578,166.3925018310547,163.69949340820312,164.2519989013672,164.2519989013672,56848000,0.6,0.2100341446697712,2,1,1
2021-10-01,164.45050048828125,165.45849609375,162.7969970703125,164.16299438476562,164.16299438476562,56712000,0.25,0.06306995498016477,2,0,0
2021-10-04,163.96949768066406,163.99949645996094,158.8125,159.48899841308594,159.48899841308594,90462000,0.4166666666666667,0.09329101078522702,2,1,1
2021-10-05,160.22500610351562,163.0364990234375,160.1230010986328,161.0500030517578,161.0500030517578,65384000,0.3333333333333333,0.157080398251613,2,0,2
2021-10-06,160.67649841308594,163.2169952392578,159.93099975585938,163.10049438476562,163.10049438476562,50660000,0.2857142857142857,0.17606801060693605,1,0,2
2021-10-07,164.57699584960938,166.28750610351562,164.1529998779297,165.1215057373047,165.1215057373047,48182000,0.0,0.060686947079375386,2,0,2
2021-10-08,165.85000610351562,166.07150268554688,164.41000366210938,164.43099975585938,164.43099975585938,39964000,1.0,0.004249414429068565,2,1,1
2021-10-11,163.75,164.62950134277344,161.90499877929688,162.31500244140625,162.31500244140625,40684000,0.0,0.15492114424705505,2,0,1
2021-10-12,162.85000610351562,163.37649536132812,161.81399536132812,162.3665008544922,162.3665008544922,36392000,0.0,0.08165115623601846,2,0,0
2021-10-13,163.48550415039062,164.41900634765625,163.05450439453125,164.21400451660156,164.21400451660156,48402000,0.25,0.29639967530965805,2,1,2
2021-10-14,165.12249755859375,165.6300048828125,164.53900146484375,164.9929962158203,164.9929962158203,42190000,0.7777777777777778,0.101126153435972,2,1,0
2021-10-15,165.5709991455078,170.52099609375,165.1999969482422,170.4510040283203,170.4510040283203,103598000,0.0,-4.914269915648869e-05,2,0,2
2021-10-18,169.41799926757812,172.45849609375,169.2550048828125,172.33700561523438,172.33700561523438,63482000,0.0,0.05207954852708748,2,0,2
2021-10-19,171.71449279785156,172.7344970703125,171.10000610351562,172.20750427246094,172.20750427246094,47722000,0.25,0.14067211095243692,2,0,0
2021-10-20,172.63299560546875,173.14300537109375,170.01849365234375,170.7530059814453,170.7530059814453,42796000,0.16666666666666666,0.06412531652798255,2,0,1
2021-10-21,170.71249389648438,172.01400756835938,170.14999389648438,171.75050354003906,171.75050354003906,37628000,0.16666666666666666,0.08873430204888184,2,0,2
2021-10-22,171.0500030517578,171.49200439453125,166.56500244140625,166.77749633789062,166.77749633789062,62782000,0.4166666666666667,0.06413047527894378,2,0,1
2021-10-25,166.75,167.38999938964844,164.88499450683594,166.01849365234375,166.01849365234375,44520000,0.14285714285714285,0.1446403513795563,2,0,1
2021-10-26,167.47549438476562,170.80599975585938,167.19900512695312,168.80349731445312,168.80349731445312,53966000,0.75,0.0845985421910882,2,1,2
2021-10-27,169.39999389648438,171.85000610351562,168.57249450683594,169.62449645996094,169.62449645996094,54044000,0.0,0.05472237674985081,2,0,0
2021-10-28,170.10499572753906,173.9499969482422,169.3000030517578,172.32850646972656,172.32850646972656,114174000,0.45454545454545453,0.10102808474436063,2,0,2
2021-10-29,165.00100708007812,168.74099731445312,163.66600036621094,168.6215057373047,168.6215057373047,129722000,0.78125,0.08597015262421337,2,1,2
2021-11-01,168.08999633789062,168.79299926757812,164.6009979248047,165.90550231933594,165.90550231933594,72178000,0.7272727272727273,0.038943114267154175,2,0,1
2021-11-02,165.75050354003906,166.55599975585938,164.17750549316406,165.6374969482422,165.6374969482422,52552000,0.2857142857142857,0.1898723869983639,2,0,0
2021-11-03,165.4499969482422,169.74600219726562,164.87600708007812,169.1999969482422,169.1999969482422,67944000,0.0,0.1650388522871903,2,0,2
2021-11-04,168.5,174.93150329589844,168.25,173.85000610351562,173.85000610351562,107060000,0.6666666666666666,0.07419127101699512,2,1,2
2021-11-05,173.85000610351562,178.3125,173.8489990234375,175.94949340820312,175.94949340820312,99940000,0.8333333333333334,0.04540440176303188,2,1,2
2021-11-08,176.16200256347656,178.9499969482422,174.39300537109375,174.44900512695312,174.44900512695312,61480000,0.9285714285714286,0.11819431431857604,2,1,1
2021-11-09,175.7624969482422,179.68850708007812,175.07150268554688,178.81149291992188,178.81149291992188,85898000,0.5,0.0629001404158771,2,0,2
2021-11-10,178.19349670410156,180.2725067138672,173.1544952392578,174.1024932861328,174.1024932861328,80548000,0.5,0.08970141612614195,2,0,1
2021-11-11,175.64999389648438,177.16200256347656,173.37350463867188,173.625,173.625,45288000,1.0,-0.005887374747544527,2,1,1
2021-11-12,174.25,177.0364990234375,172.3524932861328,176.25750732421875,176.25750732421875,53788000,0.4,0.0907493071630597,2,0,2
2021-11-15,176.85000610351562,179.69400024414062,176.29049682617188,177.28399658203125,177.28399658203125,58594000,0.0,0.04696432075330189,2,0,0
